text,language,category,sentiment_score,priority_weight
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.7568,0.427
Drinking water smells bad this week,english,water_supply,-0.2979,0.5594
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.7493,0.568
Water pressure is too low in the morning,english,water_supply,-0.7328,0.686
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.5173,0.601
Drinking water smells bad this week,english,water_supply,-0.6013,0.4366
Need WASA support for pipeline leak,english,water_supply,-0.3609,0.6165
Drinking water smells bad this week,english,water_supply,-0.5309,0.5554
Need WASA support for pipeline leak,english,water_supply,-0.4169,0.438
Drinking water smells bad this week,english,water_supply,-0.6931,0.477
Water pressure is too low in the morning,english,water_supply,-0.6983,0.4801
Drinking water smells bad this week,english,water_supply,-0.4009,0.5274
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.4704,0.5865
Need WASA support for pipeline leak,english,water_supply,-1.0,0.5091
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.4321,0.435
Need WASA support for pipeline leak,english,water_supply,-0.6998,0.6887
Need WASA support for pipeline leak,english,water_supply,-0.6439,0.6347
Need WASA support for pipeline leak,english,water_supply,-0.4771,0.3866
Need WASA support for pipeline leak,english,water_supply,-0.8153,0.7057
Water pressure is too low in the morning,english,water_supply,-0.6311,0.5557
Need WASA support for pipeline leak,english,water_supply,-1.0,0.5956
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.6381,0.4403
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.9533,0.7135
Drinking water smells bad this week,english,water_supply,-0.7686,0.6656
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.8531,0.6316
Water pressure is too low in the morning,english,water_supply,-0.7359,0.3945
"নতুন সংযোগের আবেদন করেছি, এখনো কাজ হয়নি",bangla,water_supply,-0.6912,0.5452
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.5251,0.623
Need WASA support for pipeline leak,english,water_supply,-0.7986,0.396
Need WASA support for pipeline leak,english,water_supply,-0.8056,0.4932
Drinking water smells bad this week,english,water_supply,-0.3796,0.6106
Water pressure is too low in the morning,english,water_supply,-0.8986,0.5578
Drinking water smells bad this week,english,water_supply,-0.6634,0.6635
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.7507,0.4304
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.671,0.5448
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.5193,0.5653
"পানির লাইনে সমস্যা, বিশুদ্ধ পানি পাওয়া যাচ্ছে না",bangla,water_supply,-0.6517,0.4931
Need WASA support for pipeline leak,english,water_supply,-0.3456,0.4648
Water pressure is too low in the morning,english,water_supply,-0.6012,0.6193
